Date,Palestinian,Israeli
07-Oct,,
08-Oct,,
09-Oct, 704 , 800 
10-Oct, 849 , 900 
11-Oct, 1,128, 1,200 
12-Oct, 1,448 , 1,300 
13-Oct, 1,845 , 1,300 
14-Oct, 2,268 , 1,300 
15-Oct, 2,382 , 1,300 
16-Oct, 2,865 , 1,400 
17-Oct, 3,061 , 1,400 
18-Oct, 3,540 , 1,400 
19-Oct, 3,860 , 1,403 
20-Oct, 4,218 , 1,403 
21-Oct, 4,469 , 1,405 
22-Oct, 4,741 , 1,405 
23-Oct, 5,182 , 1,405 
24-Oct, 5,887 , 1,405 
25-Oct, 6,649 , 1,405 
26-Oct, 7,131 , 1,405 
27-Oct, 7,434 , 1,405 
28-Oct, 7,812 , 1,405 
29-Oct, 8,117 , 1,405 
30-Oct, 8,425 , 1,405 
31-Oct, 8,648 , 1,405 
01-Nov, 8,924 , 1,405 
02-Nov, 9,193 , 1,405 
03-Nov, 9,370 , 1,405 
04-Nov, 9,633 , 1,430 
05-Nov, 9,915 , 1,430 
06-Nov, 10,177 , 1,405 
07-Nov, 10,492 , 1,405 
08-Nov, 10,733 , 1,405 
09-Nov, 10,930 , 1,405 
10-Nov, 11,261 , 1,200 
